Name of Department/Agency which manages this scheme,Name,Eligibility,Benificiary,Required documents,Mode of application (Online/Offline),"Details of application process (if online, povide the relevant links and other details; if offline, provide details of how an eligible person can apply, sample form/scan image of form etc.)",Offering,Level (Central/State/District/Block),Online availability (Yes/No),Common/Uncommon,Govt/Semi govt.,Hard copy form necessity (Yes/No),What is the soure of this information?,Required Form(Online/Offline),Application site link
State Bank of India (SBI).,Application Form for Loans to Individuals (Loan Against Property),"Salaried individuals, self-employed professionals, and businessmen owning a residential or commercial property, with a stable income and a minimum age of 18 years.",Individual property owners seeking funds for personal or business needs (excluding speculative purposes) by mortgaging their existing property.,"Identity/Address Proof, Income Proof (ITR/Salary Slips), 6 months Bank Statement, and Original Property Title Deeds.",Hybrid,Submit the provided PDF form along with property papers to an SBI branch or RACPC for legal and technical valuation of the asset.,"A multi-purpose loan offering high-value credit against the market value of a property, with lower interest rates compared to personal loans and tenures up to 15 years.",Central ,Yes,Common ,Govt,Yes,Reserve Bank of India (RBI) and State Bank of India (SBI).,Online,https://sbi.bank.in/documents/53471/263971/Loan+Against+Proporty+Application-English.pdf/6a0ef037-4ec1-00b3-a7c6-b0cf68f4b01c?t=1767595071385
State Bank of India (SBI).,Application Form for Overdraft against Salary,Salaried individuals having a Salary Package Account with SBI for at least 6 months and a minimum monthly net salary.,"Individual employees (Government, Corporate, or Defense) needing instant, short-term liquidity for personal emergencies.","Latest Salary Slip, Form 16/ITR, and a Letter of Authority for salary deduction (if required).",Hybrid,"Submit the provided PDF form or apply through the ""Loans"" section of the YONO app for immediate limit setup.","A revolving credit facility (Overdraft) of up to 2 times the net monthly salary, with interest charged only on the utilized amount and easy repayment through the salary account.",Central ,Yes,Common ,Govt,No,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/documents/53471/263971/Overdraft+Against+Salary+Form-English.pdf/379cffa6-ea1d-9bae-1e5d-bca45c9dea27?t=1767595139299
State Bank of India (SBI).,"Application Form for Loans to Individuals (Personal Loan)","Salaried individuals (with SBI salary account), Pensioners, and Self-employed individuals with a stable income and a minimum age of 21 years.","Individual borrowers needing unsecured funds for weddings, travel, medical emergencies, or any other personal legitimate requirements.","Identity/Address Proof, Latest 3 months' Salary Slips, Form 16, and Last 6 months' Bank Statement.",Hybrid,Submit the provided PDF form along with your income documents to your Home Branch or apply digitally through the YONO app.,"Unsecured loans with no collateral or security required, featuring competitive interest rates, low processing fees, and tenures up to 72 months.",Central ,Yes,Common ,Govt,No,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/documents/53471/263971/Personal+Loan+Application-English.pdf/6e58998c-6343-4739-eb34-5b2b24779c69?t=1767595237452
State Bank of India (SBI).,Application Form for Doorstep Banking,"Senior Citizens (over 70 years), differently-abled, or visually impaired individuals.",Eligible SBI Savings account holders needing banking services at home.,"Account Number, Registered Mobile Number, and Identity Proof.",Hybrid,Complete the Annexure II form and submit it to your Branch Manager to activate the service.,"Home delivery of Cash, Demand Drafts, and pickup of Cheques, Life Certificates, or KYC documents.",Central ,Yes,Common ,Govt,Yes,SBI Customer Care Portal.,Online,https://sbi.bank.in/documents/16012/38550822/201123-Application+form+with+terms+and+conditions.pdf/9146b8d1-54cc-0dbe-dc3e-4b51903a0899?t=1700458654953
State Bank of India (SBI).,NRI Account Opening Application Form,"Non-Resident Indians (NRIs), Persons of Indian Origin (PIOs), or Overseas Citizens of India (OCIs).",Overseas Indian citizens wishing to maintain funds in Indian currency or foreign exchange.,"Passport copies, Visa/Work Permit, Overseas Address Proof, and Passport-sized photographs.",Hybrid,"Fill the NRE/NRO form, get documents attested by the Indian Embassy or Notary, and mail them to the Foreign Department in India.","Opening of NRE/NRO Savings, Current, or FCNR (B) Fixed Deposit accounts.",Central ,Yes,Common ,Govt,Yes,SBI Global / NRI Services,Online,https://retail.sbi.bank.in/sbi/downloads/NRE_NRO_FCNRB_Form.pdf
State Bank of India (SBI).,"Annexure B - KYC Updation Form",Any customer required to undergo a periodic KYC review as per RBI mandates.,Individual account holders wishing to keep their account active without fresh document submission.,"Aadhaar Number, PAN Card, and a Self-declaration of current status.",Hybrid,"Submit the signed Annexure C to your branch or upload it through the ""Update KYC"" link in Net Banking.",Simple restoration of account status by confirming that existing records are valid.,Central ,Yes,Common ,Govt,No (if done online); Yes (if visiting the branch).,SBI Official Website.,Online,https://sbi.bank.in/documents/16012/22770835/05092022_ANNEX++B+KYC+UPDATION+FORM+INDIVIDUAL.pdf/36cb82f1-4f32-660b-7b16-7d32eb8c52f7?t=1662381281150
State Bank of India (SBI).,Xpress Credit Application Form,"Salaried individuals with a salary account at SBI, working with Central/State Govt, PSUs, Educational Institutions, or reputed Corporates.","Individual employees needing quick, unsecured funds for personal requirements like travel, weddings, or debt consolidation.","Identity/Address Proof, Latest 3 months' Salary Slips, Form 16, and Last 6 months' Bank Statement.",Hybrid,Submit the provided PDF form along with income proof to your Home Branch for appraisal and disbursement.,"Instant personal loans with no collateral or security required, featuring low processing fees and loan amounts up to ₹30 Lakhs based on income.",Central ,Yes,Common ,Govt,No (if applying through YONO RTXC); Yes (if applying manually at the branch).,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/webfiles/uploads/files/1355821878651_XPRESS_CREDIT_APPLICATION_FORM.pdf
State Bank of India (SBI).,Account Opening Form for Entities (Other than Sole Proprietorship),"Partnership Firms, Private/Public Limited Companies, Trusts, Societies, and Unincorporated Associations.",Business entities and organizations requiring a standard account for high-volume commercial transactions.,"Entity PAN, Registration Certificate/Partnership Deed, Board Resolution, and KYC of all Authorized Signatories.",Hybrid,Submit the provided PDF form along with the entity's constitutional documents and Beneficial Owner declarations to an SBI branch.,"A business account with features like unlimited deposits, overdraft facilities, bulk payment solutions, and dedicated Corporate Internet Banking (CINB).",Central ,No,Common ,Govt,Yes,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/documents/26274/109521/11032022_CA+AOF+Other+Than+Sole+proprietorship+Firm.pdf
State Bank of India (SBI).,Annexure-II (Service Request Form),"Senior Citizens (above 70 years of age), differently-abled, or visually impaired individuals with a fully KYC-compliant account.",Eligible SBI customers who have difficulty visiting the branch and reside within a 5km radius of the home branch.,"Registered Mobile Number, Account Details, and a One-Time Password (OTP) generated during the visit.",Hybrid,"Submit the provided PDF form to your Branch Manager to register for the service, then book individual visits through the app or toll-free number.","Delivery of Cash, Demand Drafts, and Cheque Books; and pickup of Cheques, Life Certificates, and Form 15G/15H at the customer's residence.",Central ,Yes,Common ,Govt,Yes,State Bank of India (SBI) official portal.,Online,https://sbi.bank.in/documents/127/0/010420-Annexure+II.pdf/6054d861-e1a5-106d-7081-c4876ba4c0be?t=1585744406187
KANNADA SBI FORMS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
State Bank of India (SBI),Deposit Slip Form ,"Anyone wishing to deposit money into an SBI Savings, Current, Loan, or PPF account.",The Account Holder receiving the funds.,"Account Number, Branch Name, Amount, and PAN Card (mandatory for cash deposits of ₹50,000 and above).",Hybrid,Fill out the Pay-in-Slip at the counter or generate a QR Cash code on the YONO App to deposit at a CDM (Cash Deposit Machine).,A standard method to credit Cash or Cheques into a bank account with a stamped acknowledgment as proof of transaction.,Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/53742/Deposit+Slip-KANNADA.pdf/1a925e2f-6bc7-820c-d525-5a0f045c5fd6?t=1761741556653
"Ministry of Finance, Government of India (administered by State Bank of India).",Form C (PPF Account Closure/Withdrawal Form,PPF account holders who have completed the 15-year maturity period or meet specific premature closure grounds (medical/higher education after 5 years).,The Subscriber (or the nominee/legal heir in case of the subscriber's death) seeking to withdraw the accumulated corpus.,"PPF Passbook, ID Proof (Aadhaar/PAN), and a Cancelled Cheque of the savings account where funds should be credited.",Hybrid ,Submit the filled Kannada Closure Form along with your original passbook to the branch manager for processing and payment.,Full disbursement of the principal amount plus tax-free interest accumulated over the tenure of the account.,Central ,Yes,Common ,Govt,No,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/57323226/Public+Provident+Fund+Account+Closure+Form-Kannada.pdf/52a0c83b-1b27-217c-ef92-e807d2d7d65b?t=1768888044256
"Ministry of Finance, Government of India (administered by State Bank of India).",Form H (PPF Extension Form),PPF account holders who have completed the initial 15-year maturity period and wish to continue the account.,The Subscriber seeking to continue earning tax-free interest and potentially making further deposits after maturity.,"PPF Passbook, ID Proof (Aadhaar/PAN), and the filled Form H.",Hybrid,Submit the Kannada Extension Form at your home branch within one year of the account's maturity date.,"Extension of the account in blocks of 5 years with two options: ""With further deposits"" (to keep saving) or ""Without further deposits"" (to just earn interest).",Central ,Yes,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/57323499/Public+Provident+Fund+Account+Extension+Form-Kannada.pdf/efd25185-3fbc-71a6-fa9e-095e2d8d6a05?t=1768888147523
State Bank of India (SBI).,Customer Request Form,"All existing SBI account holders (Individuals, Joint, or Minor) in Karnataka.",The Account Holder seeking to update records or request new banking facilities.,"Account Number, Self-attested KYC (Aadhaar/PAN), and the original Passbook.",Hybrid,"Tick the required service on the Kannada Customer Request Form, sign it, and submit it to your Home Branch with ID proof.","A single window for multiple requests: Nomination, Re-KYC, Cheque Book, Account Closure, Aadhaar/DBT Consent, and Locker Application.",Central ,Yes,Common,Govt,Yes,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/53742/Customer+Request+Form+%28Nomination%2CRe-KYC+Form%2CCheque+Book+Request%2CAC+Closure+Form%2CCustomer+Aadhar+Consent+Form+DBTNon-DBT%2CLocker+Application%29-KANNADA+%282%29.pdf/04c47366-6a9d-6df8-2401-05249d7e8d96?t=1761741403077
"Ministry of Finance, Government of India (administered by State Bank of India).",Form E (Nomination Form),Individual PPF account holders wishing to designate a person to receive funds in the event of their death.,The Nominee (the person who will receive the balance amount in the PPF account upon the subscriber's demise).,"PPF Passbook, Nominee's Name, Address & Age, and Witness Signatures (if submitting a physical form).",Hybrid,Fill out the Kannada Nomination Form and submit it along with your original passbook to the branch for recording and stamping.,Ensures a hassle-free transfer of accumulated tax-free savings to the rightful successor without requiring a succession certificate.,Central ,Yes,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/57323638/Public+Provident+Fund+Account+Nomination+Form-Kannada.pdf/d96f0d14-a01b-8c3c-8689-e1bb3e547d78?t=1768888184261
"Ministry of Finance, Government of India (administered by State Bank of India).",Form B (PPF Deposit Slip),Existing PPF account holders (or parents/guardians depositing on behalf of a minor) making an annual contribution.,The Subscriber (the individual whose name is on the PPF account).,"PPF Account Number, Branch Name, and Cash/Cheque for the deposit.",Hybrid ,Fill out the Kannada Deposit Slip with your account details and deposit the cash/cheque at the bank counter to receive a stamped acknowledgment.,"A secure method to credit funds into a long-term, tax-free savings account that earns guaranteed government-backed interest.",Central ,Yes,Common ,Govt,No,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/57323365/Public+Provident+Fund+Account+Deposit+Slip-Kannada.pdf/cd126a72-ad82-55ef-f223-d288b755dda7?t=1768888111313
"Ministry of Finance, Government of India (administered by State Bank of India).","Form-A (Application for Opening a PPF Account)
","Any Resident Indian individual (Single, or on behalf of a Minor/Person of unsound mind).",The Individual Subscriber (for long-term wealth creation and tax saving).,"Aadhaar Card, PAN Card, Passport-sized photographs, and Nomination details.",Hybrid,Submit the provided PDF form along with KYC documents and the initial deposit (minimum ₹500) to an SBI branch.,A 15-year government-backed savings scheme with guaranteed tax-free interest and deductions under Section 80C.,Central ,Yes,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/57323776/Public+Provident+Fund+Account+Opening+Form-Kannada.pdf/728e4356-5d6c-138c-8d73-bc6bef8d53c1?t=1768888216199
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-E (SCSS Account Closure Form),SCSS account holders who have reached the 5-year maturity period or meet specific premature closure conditions (subject to penalties).,The Senior Citizen Subscriber (or the nominee/legal heir in case of the subscriber's death) seeking to withdraw the principal and interest.,"Original SCSS Passbook, KYC Proof (Aadhaar/PAN), and a Cancelled Cheque for the credit of funds.",Offline ,Submit the provided PDF form along with your original passbook to the branch manager for processing and payment.,Full disbursement of the principal amount and any outstanding interest earned through the government-backed savings scheme.,Central ,No,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/57316240/SCSS+Account+Closure+Form-Kannada.pdf/9635f7c8-a9f7-f2ac-e00a-e8321ea0238b?t=1768887481387
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-B (SCSS Account Deposit Slip),Senior Citizens (60+ years or eligible retirees 55+) making their initial investment or adding funds to their SCSS account,The Senior Citizen Subscriber (the individual whose name is on the SCSS account).,"SCSS Account Number, Branch Name, and Cash/Cheque/DD for the deposit amount.",Offline ,Fill out the provided PDF form with the deposit details and submit it with your cash/cheque at the bank counter for a stamped acknowledgment.,"A secure method to deposit funds into a high-interest, government-backed savings scheme designed specifically for retirement income.",Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute,Online,https://sbi.bank.in/documents/53471/57316373/SCSS+Account+Deposit+Slip-Kannada.pdf/fab14f7d-c660-53f1-e8ba-4a2bae38c97b?t=1768887523449
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-G (Nomination Change/Variation Form,SCSS account holders who wish to cancel or change an existing nominee in their account.,The New Nominee(s) (the designated person(s) who will receive the balance in the event of the subscriber's death).,"SCSS Passbook, New Nominee's Name, Address & Age, and Witness Signatures.",Offline ,Fill out the provided PDF form with the new nominee details and submit it with your original passbook at the branch.,"Allows the subscriber to update their legal successor, ensuring the retirement funds are transferred to the correct person if family circumstances change.",Central ,No,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/57316514/SCSS+Account+Nomination+Change+Form-Kannada.pdf/16431b04-0384-7476-adda-ee83bbbd9ab5?t=1768887572983
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-4 (SSA Account Closure Form),"The Guardian (on behalf of the girl child) when the account reaches 21 years from the date of opening, or for the girl child’s marriage after she turns 18.",The Girl Child (Account Holder) who receives the full maturity amount for her financial future.,"Original SSA Passbook, Identity Proof of the girl child, and Proof of Marriage/Age (if closing for marriage).",Offline ,Submit the provided PDF form and the original passbook at the branch to transfer the maturity amount to the girl child's savings account.,Full disbursement of the principal amount plus compounded interest accumulated over the tenure of the account.,Central ,No,Common,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/57322794/SSA+Account+Closure+Form-Kannada.pdf/6cb22cca-b560-aaa1-0c9a-4f882dbe1722?t=1768887874282
"Ministry of Finance, Government of India (administered by State Bank of India and other banks)",Form SSA-1 (Application for Opening a Sukanya Samriddhi Account) ,"Resident Indian girl child up to 10 years of age (maximum two girls per family, with exceptions for twins/triplets).","The Girl Child, with the account operated by her Parent or Legal Guardian.","Birth Certificate of the girl child, ID & Address Proof of the guardian (Aadhaar/PAN), and passport-sized photographs.",Hybrid,"Fill out Form SSA-1 on the SBI Portal or Net Banking, print it, and submit it with KYC documents and a minimum deposit of ₹250 at any SBI branch.","A high-interest, tax-free savings account with a 21-year maturity period, offering deductions under Section 80C.",Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute (NSI).,Online,https://sbi.bank.in/documents/53471/57322930/SSA+Account+Opening+Form-Kannada.pdf/981cb4af-936a-83b0-6c78-33230476439d?t=1768887910628
"Ministry of Finance, Government of India (administered by State Bank of India).
",Form-2 (SSA Premature Closure Form),"The Guardian or Account Holder (Girl Child) only under specific extreme grounds: Death of the account holder/guardian, Life-threatening disease, or Non-resident status (if the girl child becomes an NRI).",The Girl Child (or the Guardian/Nominee in case of the child's death).,"Original SSA Passbook, Death Certificate (if applicable), Medical Certificate from a specialist, or Passport/Visa copies (for NRI status).",Offline ,Submit the provided PDF form along with the original passbook and certified proof of the emergency/reason to the Branch Manager.,"Early disbursement of the principal and interest before the 21-year maturity period, providing immediate liquidity for emergencies or status changes.",Central ,No,Uncommon ,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/57323068/SSA+Account+Premature+Closure-Kannada.pdf/05ed6e29-8f9e-c6e3-2ea9-ff45e7fc5dbc?t=1768887947893
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-3 (SSA Withdrawal Form),"The Account Holder (Girl Child) after reaching 18 years of age or having passed 10th standard, whichever is earlier.","The Girl Child, for the purpose of meeting expenses for her Higher Education.","Original SSA Passbook, Identity Proof, and Admission Offer/Fee Receipt from the educational institution.",Offline ,Submit the provided PDF form and the original passbook with proof of admission to the branch manager for approval.,Partial withdrawal of up to 50% of the balance available at the end of the preceding financial year.,Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute.,Online,https://sbi.bank.in/documents/53471/57316091/SSA+Account+Withdrawal+Form-Kannada.pdf/b57d72a8-78a5-1cc4-2120-60a37e01b137?t=1768887412878
State Bank of India (SBI),Withdrawal Form,Savings Account holders who do not have (or do not wish to use) a cheque book or ATM card for that specific transaction.,The Account Holder (self-withdrawal only; withdrawal slips are generally not for third-party payments).,"Original Passbook (mandatory), Account Number, and Identity Proof (if requested).",Hybrid,Fill the Withdrawal Slip and present it along with your Savings Bank Passbook to the teller at your home or nearby branch.,A simple way to withdraw cash from your own account at a bank counter without using a cheque.,Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/53742/WITHDRAWAL+SLIP-KANNADA.pdf/313a7813-7e67-a295-d89c-f49057a39cf6?t=1761741765781
State Bank of India (SBI),Application to open an Account,"Any Resident Indian (Individual, Joint, or Minor) with valid identity and address proof.","Individual citizens, minors, or joint holders wishing to save money and access banking facilities.","Aadhaar card and PAN card, along with two passport-sized photographs and a valid address proof if your current residence differs from your Aadhaar.",Hybrid,Fill out the Kannada Account Opening Form and submit it with your KYC documents to the nearest SBI branch for verification.,"A secure savings or current account with access to ATM/Debit Card, Cheque book, Internet Banking, and Mobile Banking.",Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/57322930/SSA+Account+Opening+Form-Kannada.pdf/981cb4af-936a-83b0-6c78-33230476439d?t=1768887910628
State Bank of India (SBI),Form DA-2 (Cancellation of Nomination),"Individual account holders (Single or Joint) who wish to remove an existing nominee from their Savings, Current, or Fixed Deposit account.",The Account Holder (who regains control over the nomination status of their assets).,"Account Number, Existing Nominee's Name, and Aadhaar/ID proof of the account holder.",Hybrid,"Select ""Nomination"" > ""Cancel Nomination"" in OnlineSBI, or submit a physical DA-2 form to your home branch","Legal cancellation of a previous nomination, ensuring that funds are not automatically transferred to a person the holder no longer wishes to designate.",Central ,Yes,Common,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/57316514/SCSS+Account+Nomination+Change+Form-Kannada.pdf/16431b04-0384-7476-adda-ee83bbbd9ab5?t=1768887572983
State Bank of India (SBI),Home Loan Application Form,"Resident Indians or NRIs, aged 18–75, with a stable source of income (Salaried, Self-Employed, or Professionals)","Individuals seeking financial assistance for purchasing, constructing, extending, or renovating a residential property","PAN Card, Aadhaar Card, last 3 months' salary slips, last 2 years' ITR/Form 16, bank statements for 6 months, and property title deeds/allotment letter",Hybrid,"Submit the filled form with KYC and financial proofs for credit appraisal, followed by technical and legal verification of the property before final sanction and disbursement","Collateral-based loans for property with tenures up to 30 years, featuring competitive interest rates linked to external benchmarks (EBLR) and no hidden charges",Central ,Yes,Common,Govt,Yes,State Bank of India (SBI) Official Website,Online,https://homeloans.sbi.bank.in/downloads/Home-Loan-Application-Form-Kannada.pdf
,Education Loan Application Form,,,,,,,,,,,,,,https://sbi.bank.in/documents/53471/57921948/Education+Loan+Application+Form-Kannada.pdf/df955231-87b3-a531-d034-9d163eb76e84
State Bank of India (SBI),Account Opening Form - Resident Individual,"Any Resident Indian (Individual, Joint, or Minor) with valid identity and address proof.","Individual citizens, minors, or joint holders wishing to save money and access banking facilities.","Individual citizens, minors, or joint holders wishing to save money and access banking facilities.",Hybrid,Fill out the Kannada Account Opening Form and submit it with your KYC documents to the nearest SBI branch for verification.,"A secure savings or current account with access to ATM/Debit Card, Cheque book, Internet Banking, and Mobile Banking.",Central ,Yes,Common ,Govt,No,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/53471/53742/ACCOUNT+OPENING+FORM-RESIDENT+INDIVIDUAL-KANNADA.pdf/de615a3a-aee2-5fc6-5e9d-501c30d5343f?t=1761740145646
State Bank of India (SBI).,AG-LAF-IND (Agriculture Loan Application Form),"Individual farmers (owner cultivators, tenant farmers, oral lessees, or sharecroppers) and Agri-entrepreneurs.","Farmers engaged in crop cultivation, allied activities (dairy, poultry, fisheries), or those needing investment credit for farm machinery.","ID Proof (Aadhaar/PAN), Address Proof, Land ownership/Lease records, and Cropping pattern details.",Hybrid,"Fill the individual application form (AG-LAF-IND), attach land records, and submit it to the Rural/Semi-urban branch for technical appraisal.","Financial support for short-term crop production (KCC), allied activities, farm mechanization (tractors/harvesters), and land development.",Central ,Yes,Common,Govt,Yes,State Bank of India Official Portal (www.onlinesbi.sbi),Online,https://sbi.bank.in/documents/14463/3756850/Agriculture+Loan+Application+Form+-++Kannada.pdf/3d8d5d0d-6a90-d191-0848-6b5e90a6ac00?t=1757919802066
"Ministry of Finance, Government of India (administered by State Bank of India).",Form-A (SCSS Account Opening Form),"Individuals aged 60 years or above, or retirees aged 55-60 (under VRS/Superannuation) and retired defense personnel aged 50+.","Senior Citizens looking for a safe, government-backed investment with regular quarterly income.","Aadhaar Card, PAN Card, Passport Photographs, and Proof of Date of Birth/Retirement.",Offline ,Submit the provided PDF form along with your KYC documents and the initial deposit (Cheque/DD) at your nearest SBI branch.,A 5-year investment (extendable by 3 years) offering quarterly interest payments and tax deductions under Section 80C.,Central ,No,Common ,Govt,Yes,State Bank of India (SBI) and National Savings Institute,Online,https://sbi.bank.in/documents/53471/57316652/SCSS+Account+Opening+Form-Kannada.pdf/27a6dd29-dcf7-48b3-25e3-4f05d8344988?t=1768887612196
Ministry of Housing and Urban Affairs (MoHUA),Annexure 1A (Common Loan Application Form - Kannada Version),"Street vendors (urban/rural) who were vending on or before March 24, 2020, and have a Certificate of Vending (CoV) or Letter of Recommendation (LoR).","Individual Street Vendors (selling vegetables, fruits, street food, tea, apparel, etc.) in Karnataka.","Aadhaar Card, Vending Certificate (CoV/ID/LoR), and an Aadhaar-linked Bank Passbook.",Hybrid ,"Fill out the Kannada LAF Form with your vending details and Aadhaar-OTP, then submit it to an SBI branch or upload it online.","A collateral-free working capital loan of ₹10,000 (1st loan), ₹20,000 (2nd), and ₹50,000 (3rd) with a 7% interest subsidy.",Central ,Yes,Common ,Govt,No,Ministry of Housing and Urban Affairs (MoHUA) and State Bank of India (SBI).,Online,https://drive.google.com/file/d/1_S29XqwpMpBi35rWdAwpZxPYh2Mrgod4/view?usp=sharing
,Sukanya Samriddhi Account (SSA) Opening Form,,,,,,,,,,,,,,https://sbi.bank.in/documents/53471/57322930/SSA+Account+Opening+Form-Kannada.pdf/981cb4af-936a-83b0-6c78-33230476439d
Economic Empowerment / Micro-Credit,Loan Application Form / LAF (Kannada Version),"Urban, peri-urban, or rural street vendors actively trading on or before March 24, 2020, who possess an official Identity Card or Certificate of Vending (CoV)","Individual micro-retailers and street hawkers (e.g., vegetable/fruit sellers, tea stalls, cobblers, and apparel vendors)","Aadhaar Card, Vendor ID Card / Certificate of Vending (CoV), and an Aadhaar-linked Bank Passbook",Hybrid,"Complete the form in Kannada with personal and micro-business metrics, cross-reference your Survey Reference Number (SRN), and present it to the bank for digital verification and asset disbursement","Collateral-free operational working capital loans of ₹10,000 (1st tranche), graduating to ₹20,000 (2nd) and ₹50,000 (3rd) upon successful, timely repayments featuring a 7% interest subsidy",Central ,Yes,Common ,Govt,No,State Bank of India (SBI) Portal and Ministry of Housing and Urban Affairs (MoHUA),Online,https://sbi.bank.in/documents/14463/0/05+PMSVANidhi_LAF+-+Kannada.pdf/7a83b1fd-64fe-041a-0ea5-45b55a3a6b2a?t=1755861828466
Department of Financial Services (DFS),Mudra Loan Application Form,"Small business owners, proprietors, or partners in non-farm, non-corporate micro-enterprises (manufacturing, trading, or services).","Micro-entrepreneurs needing capital for business start-up, expansion, or working capital.","Aadhaar/Voter ID, PAN Card, Address Proof, Business Proof (Udyam), and Past 6 months' bank statements.",Hybrid,"Fill out the Kannada Mudra Form with your business details and project report, then submit it to an SBI branch for appraisal.","Collateral-free loans in three categories: Shishu (up to ₹50,000), Kishore (₹50,001 to ₹5 Lakh), and Tarun (₹5,00,001 to ₹10 Lakh).",Central ,Yes,Common ,Govt,No,MUDRA (Micro Units Development & Refinance Agency Ltd.) and State Bank of India (SBI).,Online,https://sbi.bank.in/documents/14463/0/15+PMMY++Application+Form+-+Kannada.pdf/6a7f0841-40f3-1977-09e1-7e522c304cf4?t=1755862248179
SBI Life Insurance Company Limited,"Partial Withdrawal Cum Surrender Application Form - Kannada
",Policyholders of Unit Linked Insurance Plans (ULIPs) who have completed the mandatory 5-year lock-in period and wish to withdraw a portion of their accumulated fund value without terminating the policy,"The primary policyholder seeking partial liquidity for personal financial requirements (such as education, medical emergencies, or marriage)","Original Policy Document (or copy), self-attested Identity/Address Proof, and a cancelled cheque or bank passbook copy for direct fund transfer",offline,"Fill out the form in Kannada specifying the withdrawal amount or percentage, attach banking proofs, and submit it to an SBI Life branch for unit liquidation and fund credit","The primary policyholder seeking partial liquidity for personal financial requirements (such as education, medical emergencies, or marriage)",National,no,Common ,Govt,yes,SBI Life Insurance Company Limited Official Download Centre,offline,https://www.sbilife.co.in/documents/20118/512771/Partial%2BWithdrawal%2B-%2BV7%2B-%2BKannada.pdf/a1e4463a-5cc8-510a-1559-e62d2cce50bf?version=2.0&t=1773750284912&download=true
Insurance Administration / Policy Cancellation & Refund,RinnRaksha FLC Cover Cancellation Form - Kannada,"Borrowers who have opted for the RiNn Raksha credit-life insurance policy alongside their loan (like a home or vehicle loan) but wish to cancel it within the permissible ""Free Look"" period (usually 15 to 30 days of receiving the policy) or because the loan was not availed/was closed within 90 days","The primary loan applicant/policyholder, who receives a refund of the premium amount (minus proportionate risk premium and stamp duty) credited back to their loan or savings account","Original Certificate of Insurance (COI), loan account details, self-attested KYC documents (Aadhaar/PAN), and a cancelled cheque or bank passbook copy for the refund credit",offline,"Fill out the cancellation request in Kannada, state the reasons or loan status, obtain a No Objection Certificate (NOC) signature from your SBI bank branch manager, and submit it along with the original insurance certificate",Provides a formal legal mechanism to opt out of the loan protection insurance cover and claim a refund of the paid premium if the customer is unsatisfied with the terms or if the underlying loan is canceled/foreclosed early,National,no,Common ,Govt,yes,SBI Life Insurance Company Limited Official Download Centre,offline,https://www.sbilife.co.in/documents/20118/514006/RiNn_Raksha_FLC_Cover_Cancellation_Form_Kannada.pdf/4375b0da-6aa7-c434-f410-c0acf0d34a24?version=2.0&t=1773747500550&download=true
