Category (Health/Education etc),Name of Department/Agency which manages this scheme,Name,Eligibility,Benificiary,Required documents,Mode of application (Online/Offline),"Details of application process (if online, povide the relevant links and other details; if offline, provide details of how an eligible person can apply, sample form/scan image of form etc.)",Offering,Level (Central/State/District/Block),Online availability (Yes/No),Common/Uncommon,Govt/Semi govt.,Hard copy form necessity (Yes/No),What is the soure of this information?,Required Form(Online/Offline),Application site link
Transport and Communication,"Transport Department, Government of Karnataka",Form 34: Application for making an entry of an Agreement of Hire-Purchase/Lease/Hypothecation subsequent to Registration,"Eligibility requires being the registered owner of a vehicle with a valid loan agreement signed by both you and an authorized financier.",The beneficiary is the registered vehicle owner who has taken a loan and needs to legally record the bank's financial interest on the Registration Certificate (RC),"Required documents include two signed copies of Form 34, the Original RC, the Loan Agreement, and valid Insurance/PUC certificates.",Online & Offline,"Apply online via the Vahan Portal to pay the addition and smart card fees, then submit the signed Form 34, Original RC, and Loan Agreement at your local RTO.","The offering is the official recording of a bank or financier's lien on your vehicle's Registration Certificate (RC), ensuring legal recognition of the loan agreement and securing the financier's interest in the national Vahan database.",State Level,Yes,Common ,Govt,Yes,transport.karnataka.gov.in & sarathi.parivahan.gov.in,Online & Offline,https://transport.karnataka.gov.in/storage/pdf-files/Forms%20related%20to%20vehicle%20registration%20services%20in%20Kannada/CMV%2034.pdf
Transport and Communication,"Transport Department, Government of Karnataka",KMV Form 13: Form of Medical Certificate for a Conductor,"Eligibility requires being 18+ years old, having passed SSLC (10th), and obtaining a fitness certification for vision, hearing, and physical mobility from a registered doctor.",The beneficiary is any aspiring or current bus conductor in Karnataka who needs to prove their physical and mental fitness to the Transport Department to obtain or renew a Conductor’s Licence.,"Required documents include your Aadhaar Card, SSLC Marks Card, Blood Group report, and a valid First Aid Certificate for the doctor's verification.",Online & Offline,"Get the KMV-13 PDF signed by a Registered Doctor after a physical checkup, then upload it to the Parivahan Sarathi Portal as part of your conductor license application.","The offering is an official medical fitness certification from a Registered Medical Practitioner, confirming the applicant meets the physical, visual, and auditory standards required to legally serve as a bus conductor in Karnataka.",State Level,Yes,Common,Govt,Yes,https://transport.karnataka.gov.in/,Online & Offline ,https://transport.karnataka.gov.in/storage/pdf-files/kmv%2013%20kan.pdf
Transport and Communication,"Transport Department, Government of Karnataka",KMV Form 12: Application for a Conductor’s Licence,"Eligibility requires being 18+ years old, having passed SSLC (10th), holding a First Aid Certificate, and obtaining a Medical Fitness Certificate (KMV-13).",The beneficiary is any eligible individual seeking legal authorization to work as a bus conductor in public (KSRTC/BMTC) or private transport services in Karnataka.,"Required documents include your SSLC Marks Card, First Aid Certificate, Medical Certificate (KMV-13), Character Certificate, and Aadhaar Card.",Online & Offline,"Apply online via the Parivahan Sarathi Portal, upload your First Aid and Medical Certificates, and visit the RTO for physical document verification.","The offering is an official state-authorized licence and conductor's badge, granting the legal right to work in public (KSRTC/BMTC) or private transport services across Karnataka.",State Level,Yes,Common ,Govt,Yes,transport.karnataka.gov.in & sarathi.parivahan.gov.in,Online & Offline,https://transport.karnataka.gov.in/storage/pdf-files/kmv%20form%2012%20kan.pdf
Electoral/Government Services , Election Commission of India (ECI),Application for Inclusion of Name in Electoral Roll by an Overseas Elector (NRI),Form 6A is for Indian citizens living abroad (NRIs) who are 18+ years old and hold a valid Indian passport to register as overseas voters.,"The beneficiary of Form 6A is any Non-Resident Indian (NRI) holding a valid Indian passport who wants to register as an overseas voter.
","To submit Form 6A, you need a passport photo, self-attested copies of your Indian passport (photo and address pages), and a copy of your valid visa.
",Online & Offline,"Apply online via the Voters' Service Portal by uploading scanned passport and visa copies, or offline by mailing the printed Form 6A to your home constituency's Electoral Registration Officer.
","The Form 6A offering provides Overseas Indians (NRIs) the legal right to be included in the Electoral Roll, allowing them to vote in person at their home polling station in India.",Central ,Yes,Uncommon ,Govt,Yes,https://voters.eci.gov.in/formspdf/Form_6_English.pdf & https://ceo.karnataka.gov.in/20/download-forms/en,Online & Offline ,https://ceo.karnataka.gov.in/uploads/43211654072383.pdf
Transport and Communication,"Transport Department, Government of Karnataka",KMV Form 15: Application for the Renewal of a Conductor's Licence,"Eligibility requires holding an existing Conductor's Licence, a valid First Aid Certificate, and a fresh Medical Fitness Certificate (KMV-13).",The beneficiary is any existing bus conductor in Karnataka whose licence is nearing expiry or has expired and who needs to legally extend its validity to continue working.,"Required documents include your Original Licence/Badge, Medical Certificate (KMV-13), Valid First Aid Certificate, and Aadhaar Card.",Online & Offline,"Apply online via the Parivahan Sarathi Portal, upload your KMV-13 Medical Certificate, and visit the RTO for physical verification of your Original Licence.","The offering is the legal renewal and extension of validity of an existing Conductor’s Licence in Karnataka, ensuring the holder remains authorized to work in public or private bus services.",State Level,Yes,Common ,Govt,Yes,transport.karnataka.gov.in & sarathi.parivahan.gov.in,Online & Offline,https://transport.karnataka.gov.in/storage/pdf-files/kmv%2015%20kan.pdf
Transport and Communication,"Transport Department, Government of Karnataka",Form 11: Intimation of Change of Address to be Recorded in the Certificate of Registration,Eligibility requires being the registered owner who has changed their address and holds a valid NOC from the bank (if the vehicle is on loan).,Vehicle-owners who have moved to a new residence or place of business.,"Required documents include the Original RC, New Address Proof (Aadhaar/Utility Bill), Valid Insurance/PUC, and a Bank NOC if the vehicle is under a loan.",Online & Offline,"Apply online via the Vahan Portal to pay the fees, then submit your Original RC, New Address Proof, and Bank NOC at the RTO for physical verification.",The offering is an official update to the national Vahan database and the issuance of a new Smart Card RC that legally reflects your current residential or business address.,State Level,Yes,Common ,Govt,Yes,https://morth.nic.in/ & https://transport.karnataka.gov.in/57/vehicle-registration-related-forms/en & https://parivahan.gov.in/ ,Online & Offline,https://transport.karnataka.gov.in/storage/pdf-files/form%2011.pdf
Electoral/Government Services , Election Commission of India (ECI),"Form 7 - Application for objection to inclusion of name in electoral roll (Kannada) (English)","To be eligible to file Form 7, you must be a registered voter currently enrolled in the same Assembly Constituency as the person whose name you are objecting to or deleting.","The beneficiary of Form 7 is any registered voter who wants to ensure the electoral roll is accurate by removing incorrect, duplicate, or deceased entries.","To submit Form 7, you generally need the EPIC (Voter ID) number of the person being deleted and a Death Certificate (if the reason is death) or Proof of Shifting (if the reason is relocation).",Online & Offline,Apply online via the Voters' Service Portal or offline by submitting a printed Form 7 to your local Booth Level Officer (BLO).,The Form 7 offering is the legal deletion of a name or objection to an inclusion in the electoral roll to ensure the voter list remains accurate.,Central ,Yes,Uncommon ,Govt,Yes,https://ceo.karnataka.gov.in/20/download-forms/en & https://www.eci.gov.in/faq/2/12,Online & Offline,https://ceo.karnataka.gov.in/uploads/media_to_upload1659697637.pdf
Electoral Services (Government/Civic Identity)., Election Commission of India (ECI),Form 8 - Application for Shifting of Residence / Correction of Entries / Replacement of EPIC / Marking of PwD.,Any registered voter already enrolled in the electoral roll who needs to update their details or replace their card.,"Any Indian citizen on the voter list who has shifted houses, has errors in their data (name, age, photo), or needs a new physical ID card. ","To submit Form 8, you need a passport photo, proof of new address (for shifting), or proof of correct details like a birth certificate or marks card (for corrections).",Online & Offline,"Apply online via the Voters' Service Portal by uploading proof of address/correction, or offline by submitting the printed Form 8 to your local Booth Level Officer (BLO).",Provides a corrected Electoral Roll entry and/or a new Voter ID card (EPIC) with updated information.,Central ,Yes,Common ,Govt,Yes,https://ceo.karnataka.gov.in/20/download-forms/en & https://www.eci.gov.in/faq/2/12,Online & Offline,https://ceo.karnataka.gov.in/uploads/media_to_upload1659697679.pdf
Electoral Services (Government/Civic Identity)., Election Commission of India (ECI),Form 6B - Letter of Information of Aadhaar number for the purpose of electoral roll authentication,"To be eligible for Form 6B, you must be an existing registered voter who holds a valid Voter ID (EPIC) card.",The beneficiary is any registered Indian voter who wants to secure their entry in the electoral roll and prevent identity theft or duplication.,"To submit Form 6B, you need your Voter ID (EPIC) number and your Aadhaar number (or an alternative ID like a PAN card, Passport, or MNREGA job card).",Online & Offline,"Link your Aadhaar online via the Voters' Service Portal using your EPIC number, or offline by submitting the printed Form 6B to your local Booth Level Officer (BLO).",The Form 6B offering is the authentication of your voter record by linking it to your Aadhaar number to eliminate duplicate entries and secure your electoral identity.,Central ,Yes,Common ,Govt,Yes,https://ceo.karnataka.gov.in/20/download-forms/en & https://www.eci.gov.in/faq/2/12,Online & Offline,https://ceo.karnataka.gov.in/uploads/media_to_upload1659697600.pdf
"Labour and Social Welfare.
", Karnataka Building and Other Construction Workers Welfare Board (KBOCWWB),Form V(C) - Employment Certificate.,"To be eligible for Form V(C), you must be a construction worker aged 18–60 who has completed at least 90 days of work in the last 12 months.","Any unorganised construction worker (mason, carpenter, etc.) who cannot get a certificate from an employer or a Grama Panchayat.","The original signed Form V(C), Aadhaar card, age proof, and Aadhaar-linked bank passbook.",Online & Offline,"Apply online through the Seva Sindhu Portal by uploading scanned documents or offline by submitting the signed Form V(C) at a Karnataka One or Grama One center.","The Form V(C) offering is a Labour Card, which provides construction workers with financial aid for marriage, pensions, medical insurance, and educational scholarships for their children.",State Level,Yes,Common ,Govt,Yes,https://sevasindhuservices.karnataka.gov.in/,Online & Offline,https://karbwwb.karnataka.gov.in/uploads/media_to_upload1689755179.pdf
Labour / Social Welfare., Karnataka Building and Other Construction Workers Welfare Board (KBOCWWB),Form V(D) - Employment Certificate.,Rural construction workers aged 18–60 who have completed at least 90 days of work in the last 12 months.,"Any unorganised construction worker (mason, helper, etc.) living in a Gram Panchayat jurisdiction.","The original signed Form V(D), Aadhaar card, age proof, and Aadhaar-linked bank passbook.",Online & Offline,Apply online via the Seva Sindhu Portal by uploading scanned documents or offline by submitting the signed Form V(D) at a Grama One or Karnataka One center.,"Grants a Labour Card, providing access to pensions, healthcare, marriage grants, and education scholarships.",State Level,Yes,Common ,Govt,Yes,https://karbwwb.karnataka.gov.in/42/schemes/en & https://sevasindhuservices.karnataka.gov.in/,Online & Offline,https://karbwwb.karnataka.gov.in/uploads/media_to_upload1689755232.pdf
Electoral/Government Services ,Election Commission of India (ECI),Form 18 - Claim Application for Inclusion of Name in the Electoral Roll for a Graduates' Constituency,"To be eligible for Form 18, you must be an Indian citizen residing in the constituency who graduated from a recognized university at least three years prior to the qualifying date (November 1st)",The beneficiary is any graduate (or holder of an equivalent qualification) residing in the constituency who wishes to vote for a Member of the Legislative Council (MLC).,"To submit Form 18, you need a self-attested degree certificate (issued at least 3 years ago), address proof (Aadhaar/Voter ID), and a passport photograph.",Online & Offline,Apply online via the CEO Karnataka Portal during enrollment periods or offline by submitting a printed Form 18 and a self-attested degree certificate to your local Tahsildar office,"The Form 18 offering is the inclusion of your name in the Graduates' Constituency electoral roll, granting you the right to elect a Member of the Legislative Council (MLC).",State Level,Yes,Common ,Govt,Yes,https://ceo.karnataka.gov.in/342/forms/en & https://voters.eci.gov.in/,Online & Offline,https://ceo.karnataka.gov.in/uploads/media_to_upload1693469289.pdff
Education,Election Commission of India (ECI),Form 19 - Application for Inclusion of Name in Electoral Rolls for a Teachers' Constituency,Form 19 applicants must be Indian citizens residing in the constituency who have taught at a secondary or higher education level for at least three years within the last six years. Please confirm if you would like a detailed list of qualifying educational institutions,The beneficiaries are teachers who have taught for at least three years (within the last six years) in a qualifying educational institution within the constituency.,"Teaching certificate (Annexure-2), residence proof (Aadhaar/Voter ID), and two passport-size photos.",Offline ,"Applications can be submitted offline by filing the form in person or by post to the Electoral Registration Officer (ERO), or online through the CEO Karnataka website when the registration window is active",It grants eligibility to vote in the biennial elections for the Karnataka Legislative Council (MLC) under the Teachers' Constituency.,State Level,Yes,Common,Govt,Yes,https://www.google.com/url?sa=t&source=web&rct=j&url=https%3A%2F%2Fceo.karnataka.gov.in%2Fen&ved=0CAAQ6vwSahgKEwjwmu3CqriTAxUAAAAAHQAAAAAQnwI&opi=89978449,Online & Offline,https://ceo.karnataka.gov.in/uploads/media_to_upload1693469317.pdf
Agriculture,Revenue Department,Application form for crop loss ,Registered Karnataka farmers with 33% or more crop damage and a valid Farmer ID (FID) are eligible.,The primary beneficiaries are farmers in Karnataka whose crops were damaged by natural calamities like floods or drought.,"Farmer ID (FID), RTC/Pahani copy, Aadhaar card, and Aadhaar-seeded bank passbook.",Offline ,"Submit the physical form with RTC and Bank Passbook at your local Tahsildar office or Raitha Samparka Kendra, then track status via the Parihara Portal.","It provides financial compensation (input subsidy) for crop damage caused by natural calamities, credited directly to the farmer's Aadhaar-linked bank account.",State Level,Yes,Common,Govt,Yes,https://www.google.com/url?sa=i&source=web&rct=j&url=https://parihara.karnataka.gov.in/service92/&ved=2ahUKEwjMotnkr7iTAxWpRWwGHctbCRsQy_kOegYIAQgEEAE&opi=89978449&cd&psig=AOvVaw1z7B8HngHLnWunUzct5SsA&ust=1774436117088000 & https://www.google.com/url?sa=i&source=web&rct=j&url=https://landrecords.karnataka.gov.in/&ved=2ahUKEwjMotnkr7iTAxWpRWwGHctbCRsQy_kOegYIAQgEEAU&opi=89978449&cd&psig=AOvVaw1z7B8HngHLnWunUzct5SsA&ust=1774436117088000,Online & Offline,https://cdn.s3waas.gov.in/s3c8ed21db4f678f3b13b9d5ee16489088/uploads/2022/10/2022102782.pdf
Infrastructure / Natural Resources,The Department of Mines and Geology (DMG),Distribution of Sand Format 1,"To be eligible for sand allotment under this format, you must be a resident of Karnataka with a sanctioned building plan or construction license for a private house or small-scale project.","The beneficiaries are individual house builders, owners of small-scale private construction projects, and government contractors within Karnataka.","Sanctioned building plan, Aadhaar card, Property records (RTC/Khata), and the payment receipt (Challan).",Offline ,Submit Format 1 with your building plan at the District Commissioner's office (offline) or register and book via the Maralu Mitra (Sand Bazaar) portal (online).,It provides a legal permit and allotment of river or manufactured sand at government-fixed rates for private or public construction projects.,District,Yes,Common,Govt,Yes,https://www.google.com/url?sa=i&source=web&rct=j&url=https://dmg.karnataka.gov.in/39/acts-%26-rules/en&ved=2ahUKEwiPiKuDtriTAxWxUGcHHTarAMwQy_kOegYIAQgEEAE&opi=89978449&cd&psig=AOvVaw2Y8yeyrgtMv7Veey752TSt&ust=1774437791924000,Online & Offline,https://cdn.s3waas.gov.in/s367d96d458abdef21792e6d8e590244e7/uploads/2018/08/2018081214.pdf
Governance / Public Administration,Department of Personnel and Administrative Reforms (DPAR),"Application for Information under the Right to Information Act, 2005.",Any Citizen of India is eligible to apply.,"Any individual seeking specific information, documents, or records from a public authority.",₹10 application fee (Court Fee Stamp/IPO/DD) and a copy of your Aadhaar or Voter ID.,Online & Offline,"Fill out Form-A with your contact details and a clear description of the information needed, attach the ₹10 fee, and submit it to the Public Information Officer (PIO) of the concerned department; they must respond within 30 days","The legal right to access government records, inspect works, or obtain certified copies of documents held by public authorities.",State/District/Block,Yes,Common,Govt,Yes,"The form is mandated under the Karnataka Right to Information Rules, 2005, available on the DPAR Karnataka website and the Karnataka Information Commission (KIC).",Online & Offline,https://cdn.s3waas.gov.in/s367d96d458abdef21792e6d8e590244e7/uploads/2018/08/2018081051.pdf
Women and Child Development.,Department of Women and Child Development (WCD),Gruhalaxmi Scheme,"Female heads of Karnataka households with a BPL, APL, or Antyodaya card are eligible, provided they and their husbands are not income taxpayers or GST filers.","The beneficiary must be the woman listed as the ""Head of Family"" on an Antyodaya, BPL, or APL ration card in Karnataka.","To apply, you need your Ration Card, Aadhaar cards (self and husband), and an Aadhaar-linked bank passbook.",Online & Offline,"Apply online via the Seva Sindhu Portal or offline at Grama One, Karnataka One, or Bangalore One centers with your Aadhaar and ration card.","The Gruhalaxmi Scheme offers a monthly cash assistance of ₹2,000 transferred directly to the bank account of the female head of the household.",State Level,Yes,Common,Govt,Yes,"Information is sourced from the Department of Women and Child Development (WCD), the Seva Sindhu Portal, and the Mahiti Kanaja transparency portal of the Government of Karnataka.",Online & Offline,https://drive.google.com/drive/folders/1ntjRsz1NJ2yz8gW0m7R_JU4TfqW_6md0?usp=share_link
Official Government Documents / Election,Election Commission of India (ECI),Application for Correction to Particulars Entered in Electoral Roll,"Any Indian citizen aged 18 or above who is already a registered voter is eligible to use these forms for corrections or shifting their residence.",The beneficiary is any registered Indian voter who needs to correct their personal details or update their polling station due to a change in residence.,"You need your EPIC (Voter ID) number, a passport-sized photo, and self-attested copies of Aadhaar, birth certificate, or utility bills as proof of identity and address.",Online & Offline,"Apply online via the Voters' Service Portal or the Voter Helpline App, or offline by submitting a physical form to your local Booth Level Officer (BLO) or Electoral Registration Officer (ERO).","The offering includes a corrected or updated Voter ID card (EPIC) and an accurate entry in the official Electoral Roll, ensuring your right to vote at the correct polling station.",Central ,Yes,Common ,Govt,Yes,https://voters.eci.gov.in/ & https://ceo.karnataka.gov.in/en,Online & Offline,https://cdn.s3waas.gov.in/s33621f1454cacf995530ea53652ddf8fb/uploads/2020/12/2020122823-1.pdf
Official Government Documents/Election Administration,Election Commission of India (ECI),Application for Objecting Inclusion of Name of Other Person / Seeking Deletion of Own Name / Seeking Deletion of Any Other Person's Name in Electoral Roll due to Death/Shifting,Any person already registered in the electoral roll of that constituency can file Form 7 to object to an entry or request a deletion.,"The beneficiary is any registered voter who wants to ensure the accuracy of the electoral roll by removing names of deceased, shifted, or wrongly included persons.","You need the EPIC (Voter ID) number of the person being deleted and a Death Certificate (for deceased) or Address Proof (for shifted) as evidence.",Online & Offline,"Details of application process (if online, povide the relevant links and other details; if offline, provide details of how an eligible person can apply, sample form/scan image of form etc.)","The offering is an updated and accurate electoral roll through the removal of names of deceased, shifted, or ineligible persons, which prevents electoral fraud and duplicate voting.",Central ,Yes,Common ,Govt,Yes,https://voters.eci.gov.in/ & https://ceo.karnataka.gov.in/en,Online & Offline,https://cdn.s3waas.gov.in/s33621f1454cacf995530ea53652ddf8fb/uploads/2020/12/2020122897.pdf
Official Government Documents / Election Administration.,Election Commission of India (ECI),Form 6 – Application for Inclusion of Name in Electoral Roll.,"To be eligible for Form 6, you must be an Indian citizen who is 18 years of age (or will turn 18 by the upcoming qualifying date) and is a resident of the constituency where you are applying.","The beneficiary is any eligible Indian citizen, including youth reaching 18 years of age and citizens relocating within India, who needs their name added to the voter list to exercise their right to vote","You need a passport-sized photo, plus self-attested copies of age proof (like Aadhaar or Birth Certificate) and address proof (like a utility bill or bank passbook).",Online & Offline,"Register online at the Voters' Service Portal or the Voter Helpline App, or offline by submitting a completed Form 6 with photo, age, and address proofs to your local BLO or ERO.","The offering is the inclusion of your name in the Electoral Roll and the issuance of a personalized Voter ID Card (EPIC), which grants you the legal right to vote in Indian elections.",Central ,Yes,Common ,Govt,Yes,https://voters.eci.gov.in/ & https://ceo.karnataka.gov.in/en,Online & Offline,https://cdn.s3waas.gov.in/s33621f1454cacf995530ea53652ddf8fb/uploads/2020/12/2020122877.pdf
Property Registration / Revenue category.,Department of Stamps and Registration,"Form No. 1,","Any property owner, buyer, or authorized agent (such as a GPA holder) who is registering a deed for the transfer of immovable property in Karnataka is eligible and required to file this form",The beneficiary is any property buyer or seller in Karnataka who needs to officially register an immovable property and determine the correct Stamp Duty and Registration Fees based on the government’s guidance value.,"You need the Original Sale/Partition Deed, a recent Encumbrance Certificate (EC), the Khata Certificate/Extract, and the latest Tax Paid Receipts.",Offline ,"Register online through the Kaveri Online Services portal for valuation and fee payment, or offline by submitting the physical Form No. 1 with property deeds at the jurisdictional Sub-Registrar Office.","The offering is an official valuation report and the legal registration of immovable property, ensuring that the market value is correctly recorded for the payment of Stamp Duty and Registration Fees.",State Level,Yes,Common ,Govt,Yes,https://igr.karnataka.gov.in/new-page/THE%20KARNATAKA%20STAMP%20%20(PREVENTION%20OF%20UNDERVALUATION%20OF%20INSTRUMENTS)/en & https://igr.karnataka.gov.in/info-1/e+Governance+Initiatives/en ,Online & Offline,http://igr.karnataka.gov.in/storage/pdf-files/Form%20No%201.pdf
Legal / Property Registration,Department of Stamps and Registration,Declaration of Market Value and Particulars of Property,"Any property buyer, seller, or authorized representative (GPA holder) who is registering an immovable property transaction in Karnataka is eligible and required to submit this affidavit.",The beneficiary is any property buyer or seller in Karnataka who needs to legally validate their property transaction and ensure the market value is officially recorded to prevent future legal disputes.,"You need ID proof (Aadhaar/PAN), the original property deed, Khata certificate/extract, and recent tax paid receipts, all printed on non-judicial stamp paper.",Offline ,"Draft the Affidavit on non-judicial stamp paper, have it notarized, and upload it to the Kaveri Online Services portal or submit the physical copy during your Sub-Registrar appointment.","The offering is a legally binding declaration that validates the property's market value and ownership details, ensuring the registration of the deed is compliant with the Karnataka Stamp Act",State Level,Yes,Common ,Govt,Yes,https://igr.karnataka.gov.in/new-page/THE%20KARNATAKA%20STAMP%20%20(PREVENTION%20OF%20UNDERVALUATION%20OF%20INSTRUMENTS)/en & https://igr.karnataka.gov.in/info-1/e+Governance+Initiatives/en ,Online & Offline,https://igr.karnataka.gov.in/storage/pdf-files/Affidavit.pdf
Property Registration and Revenue Administration,Department of Stamps and Registration,Application for Searches or Inspection of Register Books and for the Issue of Certified Copies of Documents.,"Any property owner, legal heir, or person interested in a specific property (such as a buyer or lawyer) is eligible to apply for property searches and certified copies in Karnataka.","The beneficiary is any property owner, buyer, or legal heir in Karnataka who needs official proof of property transactions, such as an Encumbrance Certificate (EC) or a Certified Copy (CC) of a sale deed.","You need your ID proof (Aadhaar/PAN), the property survey number, and specific registration details (Document Number/Year) to identify the records you wish to search or copy.",Online & Offline,"Apply online via the Kaveri Online Services portal for digital documents, or offline by submitting Form No. 22 with property details at your jurisdictional Sub-Registrar Office.","The offering is an official Encumbrance Certificate (EC), which lists all registered transactions on the property, or a Certified Copy (CC) of a specific registered deed.",State Level,Yes,Common ,Govt,Yes,https://igr.karnataka.gov.in/info-4/Acts+and+Rules/Registration+Acts+and+Rules/en,Online & Offline,https://igr.karnataka.gov.in/storage/pdf-files/model-deeds/Form%20No%2022.pdf
,,Officers Checklist for purchase of Property.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/Forms_Proc/PropertyPurchaseChecklist110917.pdf
,,Format for Workstudy(Karyadhyayana) towards upgradation of Gazetted Manager posts in DDPIs Office to Gazetted Assistants.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/Forms_Proc/GM_GAWorkStudyFormat281215.pdf
,,Change of name of Government Servants and Women Government servants consequent upon their  Marriage – simplification of procedure regarding.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/Forms_Proc/AidedHSHMPromChecklist.pdf
,,Aided High School Head Masters Promotion Check List.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/Forms_Proc/GezettedPensionFormat.pdf
,,Gazetted Officers Pension Format.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/Forms_Proc/Assets_LiabilitiesCheckList.pdf
,,Check List for Assets and Liabilities.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/Forms_Proc/StgIncrementCircularCheckList.pdf
,,Circular and CheckList regarding sending proposals for sanctioning Stagnation Increment.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/Forms_Proc/FamilyPlanIncreCircularCheckList.pdf
,,Circular and CheckList for the Government Employees who are availing Family Planning.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/CompApt010814.pdf
,,Checklist for verification of documents regrding Compassionate Grounds Appointment.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/TBACircular110414.pdf
,,Circular and format regarding Probationary Declaration and sanctioning of 10 years and 15 years time bound advancement.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/Officers/Pdfdocuments/PassportChecklist.pdf
,,Passport Check List format.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/courtcase.pdf
,,Court cases information system formats,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/courtcase.pdf
,,Cyber Center Registration Application,,,,,,,,,,,,,,https://cdn.s3waas.gov.in/s33a835d3215755c435ef4fe9965a3f2a0/uploads/2018/08/2018082475.pdf
,,BIRTH CERTIFICATE,,,,,,,,,,,,,,https://karnataka.census.gov.in/CRS/5.Form-5-Birth%20Certificate-Kannada.pdf
,,Form 8A – Application for transposition of entry in electoral roll,,,,,,,,,,,,,,https://cdn.s3waas.gov.in/s3c0f168ce8900fa56e57789e2a2f2c9d0/uploads/2018/08/2018080148-1.pdf
,,Kannada Medium Certificate,,,,,,,,,,,,,,https://drive.google.com/file/d/1Wekf5qKELwdRhGVuLAcjceS7QH-GtamO/view?usp=sharing
,,Rural Certificate in Kannada,,,,,,,,,,,,,,https://drive.google.com/file/d/1QmfqJKk8yNg1RlI5-uAhgGPcu_mj3_9x/view?usp=sharing
,,school enrollment confirmation letter,,,,,,,,,,,,,,https://drive.google.com/file/d/1ogLl-taMt5BccSZPvQThlKop6nrY3Zz2/view?usp=sharing
,,RTI application format,,,,,,,,,,,,,,https://drive.google.com/file/d/1XGwf049skbm5r8cW78A1zQeOAFn9IdBY/view?usp=sharing
,,Office Visit Formats.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/mmsKn/mmspdfs/OfficeVisitFormats.pdf
,,School Visit Formats.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/mms/mmspdfs/SchoolVisitFormats.pdf
,,Application for Medical Assistance to Students.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/S2_StudentMedical.pdf
,,Circular regarding Financial assistance to the Teachers/Lucturers Children who taken loan from Nationalised Banks for studying Medical/Engineering Courses from the year 2017-18.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/TBFProfCourseCircular_201819.pdf
,,Application for Lifemembership of Teachers.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/T7_Lifemembership.pdf
,,Application for Advance towards Laptop/Tab purchase Assistance.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/T6_LaptopAdvance.pdf
,,Application for Teacher’s Accident Assistance Scheme.,,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/tbfpdfs/T5_StudentTeacherAccident.pdf
Education / Human Resources,Department of School Education and Literacy,Checklist for permission to travel abroad.,"Any permanent government employee (including teachers, headmasters, and administrative staff) working under the Department of School Education and Literacy, Karnataka, who intends to travel to a foreign country.","The beneficiary is any permanent employee (teacher, headmaster, or office staff) of the Karnataka School Education Department who needs official legal clearance and leave approval for international travel.","You need a request letter, passport copy, visa/invitation, service certificate, and an affidavit declaring no pending departmental inquiries.",Offline ,"Submit the completed Checklist (FTF) and supporting documents offline through the proper channel, starting from your BEO up to the Commissioner for final approval.",The offering is an official Government Permission Order (No Objection Certificate) that legally authorizes a department employee to travel abroad while preserving their service seniority and leave records.,State Level,Yes,Uncommon ,Govt,Yes,The information for the Foreign Trip Permission (FTF) checklist is sourced from the official administrative guidelines of the Government of Karnataka,Online & Offline,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/Forms_Proc/FTF_30112021.pdf
,,"Annual Performance Report format for Group A, B & C Posts.",,,,,,,,,,,,,,https://schooleducation.karnataka.gov.in/uploads/schooledu_pdfs/pdffiles/Forms_Proc/CR-Form.pdf
